text,description,explanation
promote,승진시키다,She was promoted to director after leading the most successful campaign of the year.
propose,제시하다,He proposed a revised timeline to account for the unexpected delays.
provide,공급하다,She provided detailed guidance to all new team members during their first week.
pursue,계속하다,He pursued his interest in design alongside his full-time career in marketing.
qualify,자격을 갖추다,She qualified for the advanced training program after passing the initial assessment.
quantify,수치화하다,He quantified the financial impact of the delay to present to the board.
reach,이르다,She reached an agreement with the supplier after two weeks of negotiations.
recommend,권유하다,He recommended a phased approach to minimize disruption during the rollout.
recruit,모집하다,She recruited a team of specialists from across the industry for the project.
refine,정제하다,He refined the presentation until it was concise and clearly structured.
reinforce,보강하다,She reinforced the importance of accuracy by implementing a peer review process.
relate,연관 짓다,He related the company's goals to each individual's daily work responsibilities.
release,공개하다,She released the final version of the product after six months of testing.
relocate,이전하다,He relocated to a new city to take on a leadership role at the headquarters.
rely,믿다,She relies on strong data analysis to make well-informed business decisions.
report,전하다,He reported the findings directly to the executive team on the same day.
represent,나타내다,She represented the company at a major international business conference.
research,탐구하다,He researched the topic extensively before drafting his final recommendations.
resolve,결말 짓다,She resolved the technical issue within the hour with minimal impact on users.
respond,호응하다,He responded promptly to every client inquiry to maintain a high trust rating.
restore,되살리다,She restored team confidence by communicating a clear plan moving forward.
revise,재검토하다,He revised the proposal three times based on feedback from the leadership team.
scale,확장하다,She successfully scaled the program from a pilot of ten to over two hundred users.
secure,안전하게 하다,He secured the data by implementing strict access controls across all systems.
select,고르다,She selected the most qualified candidates to move forward in the hiring process.
set,정하다,He set clear expectations at the start of the project to avoid misunderstandings.
share,나누다,She shared her experience openly to help her colleagues avoid similar mistakes.
simplify,간단하게 하다,He simplified the reporting format so it was easier for all teams to complete.
solve,풀다,She solved the recurring issue by identifying and addressing the root cause.
specify,특정하다,He specified the exact requirements to ensure accurate delivery from the supplier.
standardize,표준화하다,She standardized the process across all regional offices for consistency.
strengthen,공고히 하다,He strengthened the proposal by incorporating data from recent research.
structure,체계적으로 구성하다,She structured the training program to progress gradually from basic to advanced.
submit,내다,He submitted the completed report one day ahead of the agreed deadline.
summarize,요약하다,She summarized the key points at the end of the meeting for the whole team.
supervise,감독하다,He supervised the installation of the new equipment to ensure safety compliance.
support,뒷받침하다,She supported her argument with multiple case studies from similar industries.
sustain,지탱하다,He sustained a high level of performance throughout the most demanding quarter.
tailor,맞추다,She tailored her communication style to suit each individual client's preferences.
target,겨냥하다,He targeted the most influential segment of the market with the new product.
track,추적하다,She tracked all project milestones using a shared online management tool.
transform,탈바꿈시키다,He transformed the underperforming team into one of the company's best divisions.
transition,전환하다,She transitioned smoothly into her new leadership role with minimal disruption.
treat,접근하다,He treated every challenge as a learning opportunity rather than a setback.
update,갱신하다,She updated the team on the project status at the beginning of each week.
utilize,이용하다,He utilized the available data to make a compelling case for the new approach.
validate,인정하다,She validated the results by having an independent team review the methodology.
vary,달리하다,He varied his approach depending on the needs of each individual team member.
verify,점검하다,She verified all the details before confirming the booking with the supplier.
visualize,시각화하다,He visualized the data using a simple chart that made the trend immediately clear.
willing,준비가 된,She was willing to put in extra hours to ensure the quality was right.
work,노력하다,He worked systematically through each task on the list each day.
write,작성하다,She wrote a clear and concise brief for the design team to follow.
achieve,성취하다,He achieved recognition for his contribution to the annual company project.
adjust,조절하다,She adjusted the timeline after receiving updated requirements from the client.
agree,합의하다,He agreed to take on additional responsibility during the transition period.
analyze,분석하다,She analyzed competitor strategies before finalizing the marketing approach.
apply,적용하다,He applied a structured problem-solving method to resolve the issue quickly.
assess,판단하다,She assessed the risk level of each option before presenting her recommendation.
balance,맞추다,He balanced short-term deliverables with long-term strategic objectives effectively.
build,쌓다,She built strong relationships with stakeholders through consistent communication.
calculate,산출하다,He calculated the projected return on investment before approving the expense.
challenge,시험하다,She challenged her assumptions by seeking feedback from an external expert.
